US-ID,C-ID,ID,Acceptance Criterion,Causal
E01.01,1,1,An introduction to how the app works is displayed the first time the app is launched.,TRUE
E01.01,2,2,The introduction to how the app works is not displayed when the app is launched subsequently.,TRUE
E01.01,3,3,The explanatory content is available to app users in the respective functional areas.,FALSE
E01.02,1,4,"By using the app, the user accepts the terms of use and privacy provisions.",TRUE
E01.02,2,5,The terms of use can be displayed within the app.,FALSE
E01.02,3,6,The consent prompt is shown only the first time a user launches the app.,TRUE
E01.03,1,7,Confirmation of the creation of pseudonymized IDs and their transmission to nearby devices by the app is a prerequisite for using the app.,FALSE
E01.03,2,8,The prompt no longer appears after the first time the app is used.,TRUE
E01.04,1,9,The authorization to use the generation of pseudonymous IDs and send them to nearby devices is already contained in the usage of Bluetooth Low Energy (BLE).,FALSE
E01.04,2,10,The configuration of the general Bluetooth functions is only possible in the system settings.,TRUE
E01.05,1,11,The app's notification settings are queried before the app is used for the first time. ,TRUE
E01.05,1,12,This enables local notifications. ,FALSE
E01.05,1,13,True push notifications from external servers are not supported (APNs/FCM).,FALSE
E01.05,2,14,The prompt no longer appears after the first time the app is used.,TRUE
E01.06,1,15,The configured system language is detected.,FALSE
E01.06,2,16,"If the content is not available in the detected system language, English is selected by default.",TRUE
E01.06,3,17,The first version of the app is expected to be available also in languages other than English.,FALSE
E01.07,1,18,Accessibility is provided depending on the options available in the respective operating system.,TRUE
E02.01,1,19,"The app will either contain a link to a web page with FAQs, which is displayed in a browser window, or the web page will be displayed within the app itself.",FALSE
E02.02,1,20,An explanation of the app's various functions will be provided.,FALSE
E02.03,1,21,An explanation of the app's various functions will be provided.,FALSE
E02.04,1,22,There is a “Publication information” item in the menu.,FALSE
E02.04,2,23,The publication information contains the usual information required.,FALSE
E02.05,1,24,The app provides simple access to the terms of use and data privacy information.,FALSE
E02.06,1,25,The app offers access to a technical hotline and a hotline for obtaining a phone TAN.,FALSE
E02.06,2,26,The times the hotline is available (such as 24/7) is displayed.,FALSE
E02.06,3,27,Phone numbers can be called directly from the app.,FALSE
E03.01,1,28,The functions for generating pseudonymized IDs and sending them to nearby devices can be activated and deactivated.,FALSE
E03.01,2,29,The consequences of activation/deactivation are explained.,FALSE
E03.02,1,30,The app can be reset to the delivery defaults with a setting option. ,FALSE
E03.02,1,31,The saved traces have to be deleted through the system settings.,FALSE
E03.03,1,32,App users can call a menu for app settings.,FALSE
E03.03,2,33,Notifications can be activated and deactivated.,FALSE
E03.03,3,34,Access to the functions for generating pseudonymized IDs and sending them to nearby devices can be activated and deactivated.,FALSE
E03.03,4,35,"Before access permissions are deactivated, I receive information as to which app functions will no longer work.",TRUE
E04.01,1,36,"Depending on the notification settings, the app sends a notification to the user.",TRUE
E04.01,2,37,"If the risk assessment for a user changes, a notification informs users that there is news in the app. ",TRUE
E04.01,2,38,The actual changed risk assessment is not displayed until the app is opened.,TRUE
E04.02,1,39,A notification leads the user to the app. ,TRUE
E04.02,1,40,The recommendations from the RKI are defined statically in the app.,FALSE
E05.01,1,41,Only positive tests can trigger a warning. ,TRUE
E05.01,1,42,This is ensured by the verification server and the hotline for the phone TAN procedure.,FALSE
E05.01,2,43,A warning can only be triggered once for each test.,TRUE
E05.02,1,44,A notification merely informs you that there is news in the app. ,FALSE
E05.02,1,45,The test result itself can only be seen in the app.,FALSE
E05.02,2,46,"An info text with defined content is displayed in the app (for example, information about the outcome of the test result, information about necessary measures, a hotline number).",FALSE
E06.01,1,47,A QR code provided on a flyer from the medical professional or test center can be scanned with the Corona-Warn-App.,FALSE
E06.01,2,48,An explanatory text is displayed.,FALSE
E06.02,1,49,A notification merely informs you that there is news in the app. ,FALSE
E06.02,1,50,The test result itself can only be seen in the app.,FALSE
E06.02,2,51,The notification does not explicitly indicate whether the result is positive or negative.,FALSE
E06.03,1,52,The IDs can be sent to the Warn server pseudonymized.,FALSE
E06.03,2,53,Data transmission is only possible if successfully verified beforehand. ,TRUE
E06.03,2,54,This is ensured by the verification server and the hotline for the phone TAN procedure.,FALSE
E06.03,3,55,Data transmission is only possible if the app user has granted consent beforehand.,TRUE
E06.04,1,56,The center responsible can generate a TAN and provide it to the person.,FALSE
E06.04,1,57,"The TAN is generated by a server, not the call center itself.",FALSE
E06.05,1,58,It is possible to enter a TAN within the app.,FALSE
E06.05,2,59,The app verifies the entered TAN and provides feedback as to whether it was correct.,FALSE
E06.06,1,60,The IDs can be sent to the Warn server pseudonymized.,FALSE
E06.06,2,61,Data transmission is only possible if successfully verified beforehand. ,TRUE
E06.06,2,62,This is ensured by the verification server and the hotline for the phone TAN procedure.,FALSE
E06.06,3,63,Data transmission is only possible if the person has granted consent beforehand.,TRUE
E07.01,1,64,Thresholds can be configured dependent on the provided API.,TRUE
E07.01,2,65,The app receives dynamic configurations from the RKI that can affect how the risk assessment is calculated.,TRUE
E08.01,1,66,The phone number of the technical hotline is available in the app.,FALSE
E09.01,1,67,Accessibility regarding audio output is provided depending on the options available in the respective operating system.,TRUE
E09.02,1,68,Accessibility regarding contrast and font size/type is provided depending on the options available in the respective operating system.,TRUE
E09.03,1,69,The texts and languages are defined by the ordering party.,FALSE
E10.01,1,70,Content management will be carried out based on RKI requirements.,FALSE
E10.01,2,71,"Content will be differentiated by static and dynamic content, in line with technical feasibility.",FALSE
E10.01,3,72,"In the initial version, updates will be performed through an app update.",TRUE